offer_type,difficulty,reward,duration,age_group,income_group,reception,view,completion,view_rate,completion_rate,completion_to_view_rate,total_amount,average_amount,total_reward,channels
bogo,5,5,5,18-29,$40K-$60K,318,305,162,0.959119,0.509434,0.531148,2269.03,14.006358,810,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,18-29,$40K-$60K,278,93,144,0.334532,0.517986,1.548387,1802.51,12.517431,720,"['web', 'email', 'mobile']"
bogo,10,10,5,18-29,$40K-$60K,333,317,100,0.951952,0.3003,0.315457,3373.28,33.7328,1000,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,18-29,$40K-$60K,307,295,116,0.960912,0.37785,0.39322,3137.85,27.050431,1160,"['email', 'mobile', 'social']"
bogo,5,5,5,18-29,$60K-$80K,216,209,131,0.967593,0.606481,0.626794,3561.32,27.185649,655,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,18-29,$60K-$80K,219,80,131,0.365297,0.598174,1.6375,1976.31,15.086336,655,"['web', 'email', 'mobile']"
bogo,10,10,5,18-29,$60K-$80K,218,210,77,0.963303,0.353211,0.366667,2367.17,30.742468,770,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,18-29,$60K-$80K,214,209,81,0.976636,0.378505,0.38756,2667.05,32.926543,810,"['email', 'mobile', 'social']"
bogo,5,5,5,18-29,"Under $40K",190,178,92,0.936842,0.484211,0.516854,1097.84,11.933043,460,"['web', 'email', 'mobile', 'social']"
bogo,5,5,7,18-29,"Under $40K",172,70,82,0.406977,0.476744,1.171429,895.1,10.915854,410,"['web', 'email', 'mobile']"
bogo,10,10,5,18-29,"Under $40K",186,172,37,0.924731,0.198925,0.215116,960.26,25.952973,370,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,18-29,"Under $40K",180,173,47,0.961111,0.261111,0.271676,1154.7,24.568085,470,"['email', 'mobile', 'social']"
bogo,5,5,7,30-39,$100K-$120K,2,2,2,1,1,1,58.11,29.055,10,"['web', 'email', 'mobile']"
bogo,10,10,5,30-39,$100K-$120K,1,1,1,1,1,1,24.22,24.22,10,"['web', 'email', 'mobile', 'social']"
bogo,10,10,7,30-39,$100K-$120K,1,1,1,1,1,1,59.84,59.84,10,"['email', 'mobile', 'social']"
